run,best_fitness_hours,best_fitness_days,seed
1,287.99999999999994,11.999999999999998,42
2,311.9999999999999,12.999999999999995,84
3,287.99999999999994,11.999999999999998,126
4,264.0,11.0,168
5,251.51450471801337,10.479771029917224,210
6,273.43712187380424,11.39321341140851,252
7,320.97217005742687,13.373840419059453,294
8,290.95058505811,12.122941044087916,336
9,287.99999999999983,11.999999999999993,378
10,292.34140992958953,12.180892080399564,420
